Bug ID,Component,Assignee,text,time
254,Build Config,briano,MOZ_LITE configuration build created tor cs brown edu friday april pm pdt additional details patch fixes moz_lite configuration config mk lib layout makefile also changes references editor build process moz_editor avoid problems unix editor commonly set user s environment patch little large include grab http www cs brown edu people tor mozilla lite patch updated tor cs brown edu wednesday april pm pdt additional details patch updated release place name comment brian ostrom pdt send note owners mozilla org firmly requesting change right thing hundreds ifdef editor like scattered throughout code getting necessary changes made probably take long time providing individual patch owner would probably speed things ll major pain in the ass ve got version config mk support editor moz_editor time wait input checking comment tor pdt think may misunderstood m proposing ifdef editors scattered around codebase fine taken care deditor compile line thing m objecting editor environment variable set emacs say screw moz_lite build ve updated patch current cvs pull fixes editor problem mentioned fixes moz_lite build configuration config mk lib layout makefile in patch makes changes config directory assorted makefiles actual code changes modifies build control variables whole patch applied tree break comment brian ostrom pdt moz_editor supported mozilla config config mk editor still well soon ifdef editor lines various makefiles replaced ifdef moz_editor ll get rid editor make macro send mail affected owner patch need apply still think s fastest way get changes made comment tor pdt still need apply two patches files control diff u recursive mozilla orig config config mk mozilla config config mk mozilla orig config config mk fri sep mozilla config config mk sat sep no_unix_ldap moz_jsd moz_nav_build_prefix moz_cookiemanage endif ifdef moz_medium diff u recursive mozilla orig modules makefile mozilla modules makefile mozilla orig modules makefile wed sep mozilla modules makefile fri sep dirs oji endif ifdef editor ifdef moz_editor ifdef java_or_nsjvm change later java_or_oji dirs edtplug endif java_or_nsjvm dirs spellchk endif editor endif moz_editor ifeq subst _ shell uname s os dirs spellchk comment brian ostrom pdt aye aye cap n done let know rearranging config mk causes trouble comment rubydoo pst moz lite longer valid app setting bug verified,1998-08-27 17:14:11 PDT
286,Build Config,briano,iostream h created nayan hajratwala nayan walanet com thursday april pm pdt additional details build procedure n t seem able find iostream h located opt fsflibg lib g include iostream h including i sunos mk variable g includes n t help add os_includes variable comment brian ostrom pdt issue anymore g includes part includes config mk overriding environment need closing bug comment glynn pst old code base marking verified,1998-08-27 17:17:14 PDT
806,UI Design,leaf,milestone branch reminder User agent implementation needs update cyeh netscape com christopher yeh go designing raptor would please take moment decide simple xp way specifing version user agent string ca n t tell painful everytime decide bump either current code base muck fe completely different way single file used config platforms would dream thanks chris yeh comment kipp pdt rickg things would good modify user agent data viewers command line comment chris yeh pdt bumping priority since re raptor based stuff important releasing betas day day qa comment leger pst putting ss radar comment leger pst ss bug taking list comment pst re assigned kipp netscape com kipp get bug n t appear xpapps issue comment chris yeh pst hubie working xp single file use set configuration stuff falls re assigning hshaw comment leger pst setting current open normal m comment paul macquiddy pst per leger assigning qa contacts open bugs without qa contacts according list http bugzilla mozilla org describecomponents cgi product browser comment leger pst satus straightened apprunner comment suresh duddi gone pst already bug one comment pst re assigned rpotts netscape com changed summary target milestone m platform os added lots folks cc list rick please help figure scope feature need know long s going take implement engineers teams would best writing platform specific work thanks comment pst bug marked duplicate bug comment hubert shaw pst currently exists way set user agent one file require recompile located nsnetlibservice nsnetlibservice make chris s life easier d nice used external file recompile necessary though ability set user agent one place satisfy chris s main need comment chris yeh pst ua set nsinetservice cpp correct s case someone team go verify works alright comment hubert shaw pst initialized mozilla network module nsnetservice cpp nsnetservice nsnetservice output looks something like mozilla en win ve informed bug assigned rick enhance contents user agent know extent defer rick comment pdt changed target milestone m comment pdt changed milestone m comment gelderen pdt bug marked duplicate bug comment gelderen pdt added cc duplicate bug m sure want set compile time simply add linux __freebsd__ __netbsd__ macro s current code however want extract value run time need platform specific code deliver patches first choice patches runtime detection linux freebsd netbsd versions rick s plan macro s structural improvements later let know might able provide diffs comment chris yeh pdt user agent requirements steve elmer would like able identify browsers come mcd cck opposed ones available general download x series browser done reading values external netscape cfg file browser initialization time would tweak customize user agent field user agent gets implemented on the fly override customization user agent possible external file minimize recompiles melton tells user agent wo n t implemented apprunnner m dependent necko apprunner initialization code reads external preferences files wo n t ready m comment selmer gone pdt addition append user agent string mechanism using netscape cfg preferences described cyeh also need tag string identifies _netscape_ distribution channel mcd cck n t modifiable bits n t yet know mcd cck need separate tags single tag work s tag need s burned bits another need modified run time using prefs believe requirement comment selmer gone pdt addition append user agent string mechanism using netscape cfg preferences described cyeh also need tag string identifies _netscape_ distribution channel mcd cck n t modifiable bits n t yet know mcd cck need separate tags single tag work s tag need s burned bits another need modified run time using prefs believe requirement comment selmer gone pdt ok misconception appears kinds tagging driven pref pref exists user agent string gets c stuff inserted value pref gets added well comment selmer gone pdt bug marked duplicate bug comment pdt re assigning m although may get done m comment pdt moved m comment pdt resolved fixed since bugs resolved comment christian wenz pst milestone naviator useragent returns mozilla os dependen information mozilla m imho mozilla m see effect help comment chris hofmann pst leaf putting check list things need done milestone branches comment chris hofmann pst changing title comment selmer gone pst really recycled bug feature build problem comment phil peterson pst pdt already hand another bug comment daniel leaf nunes pst phil bug bug hand comment daniel leaf nunes pst alright something gets handled milestone closing bug comment blake ross pdt verified,1998-09-22 07:55:00 PDT
883,Build Config,briano,BUILD Mozilla build ARM Linux building mozilla arm linux box fails tested corel netwinder file mozilla nsprpub pr include md _linux h contain definitions _md_get_sp _md_set_fp etc also gcc arm linux defines default characters unsigned explicit manifest linux platforms defines have_signed_char either manifest must undefined explicit compilation flag must added enclosed file contains changes make build work also added extra flags c overcome current limitation netwinder standard libraries n t hurt assumed mozilla use c exceptions rtti removed libraries get fixed changes mozilla correctly builds netwinder using lesstif moz export crashes loading mozilla export start used crashes hung system comment ramiro pdt adding wtc netscape com got netwinder test stuff thanks marking assigned comment raffaele sena pdt order build netwinder also need apply fix bug standard i o files constant glibc also build lesstif w out static version library n t seem get built need fix bug notes building netwinder http www netwinder org raff comment wan teh chang pdt hi raff applied patch mozilla nsprpub emulated threads work thanks unable make work interested attempt pthreads based build setting environment variable use_pthreads stderr fix good one never assume stderr constant used static initializer comment ramiro pst fixed re comment wan teh chang pst applied nsprpub portion patch comment leger pst setting current open normal m comment leger pst old bug raff verified comment stuartp pst n t fixed comment leger pst fixed yes comment leger pst rickg moved m figure fixed comment ramiro pst reassigning briano comment brian ostrom pst m assuming fixed xpcom libxpt went code building successfully sidewinder http cvs mirror mozilla org webtools tinderbox showlog cgi tree seamonkey ports closing bug comment eli goldberg pst rubber stamping verified,1998-09-24 11:54:21 PDT
838,Build Config,briano,Mozilla fails build correctly non gcc g HP UX compiler well m back exploits hp ux by now surely infamous th september mozilla build s progress report hp s cfront based c cc command ca n t build th sept mozilla bombs early compile many fixes later convinced give previous mozilla releases built fine cc s lot g isms added th sept release suspect hp s ansi c acc command actually build mozilla core dumps intiialisation n t really fancy debugging concentrated installing latest gcc libstdc using build mozilla instead gcc libstdc builds mozilla manages run mozilla hp ux s serious problems background tiling loads graphical corruption pages background tiles advice stick gcc g building mozilla hp ux compilers n t work even gcc g produces background tile problem though anyone netscape actually managed build th sept mozilla get work sensibly btw s major omission build config mozilla mid way build i e one without optimisation debugging ended hack around places get rid o s whilst keeping build_opt defined rule optimisation bugs gcc g ruled problem non optimised build comment brian ostrom pdt working rather m working verification pieces respect systems netscape versions updates compilers installed data come slowly dig thanks terry terry mozilla org pointing n t designated bug assigned thought comment chris mcafee pst looks old get more recent status comment leger pst setting current open critical major m comment brian ostrom pst m working getting publicly viewable tinderbox build running hp ux still n t know anything state hp ux build fails configure m stuck moment trying identify fix problem eggroll cltbld cc ae o conftest dmoz_toolkit gtk dmoz_dll_suffix sl i builds tinderbox seamonkey nspr include l builds tinderbox seamonkey nspr lib conftest c lnspr ll lm lc_r eggroll cltbld conftest usr lib dld sl call mmap failed text builds tinderbox seamonkey nspr lib libnspr sl usr lib dld sl permission denied iot trap core dumped comment chris hofmann pst moving m comment brian ostrom pst ve tinderbox build hp ux using native compiler cc acc several weeks still n t quite build help soon m closing bug please feel free reopen submit new one re happy,1998-09-28 17:48:19 PDT
894,Build Config,leaf,scroll wheel new mice functionality scroll wheel newer microsoft logitech mice functionality works fine win apps manipulates vertical scrollbar used missing mozilla using daily build matt hargett matt darpanet net comment garrett arch blythe pdt build vc work vc needed libraries work n t distribution rights ms libraries compiler using chris comment chris yeh pdt ve standardized vc vc still work supported comment chris yeh pdt vc unsupported comment leger pst old bug marking verified comment matt pst resolution is was nonsensical vc used mfc controls used updated libraries support intrinsically re opening comment leger pst clearing wo n t fix resolution due reopen comment old account pst ok pretty much implemented point marking resolved fixed please see open bugs remaining problems also matt use net mozilla n t use mfc controls comment leger pst taking bug qa contact verify comment jan carpenter pst works intermittantly today s build working tested logitech button wheel mouse build comment leger pst updating qa contact comment chris yeh pdt mass reassign leaf comment john dobbins pdt tested build win se works ms mouse s months since reported working intermittanly anyone tested nt newer build comment sean richardson pdt brian dead issue right comment brian ryner reading pdt d say dead bugs specific issues win comment jan carpenter pdt verified m win,1998-10-09 08:38:22 PDT
424,Build Config,briano,Warning fix DBSD BSD platforms created bert driehuis driehuis playbeing org friday june pm pdt additional details systems define bsd one system header files cause spurious warning messages message snews secnews netscape com pine sun q a dewmoth propose workaround renaming instances dbsd actually used mozilla generic_bsd updated wan teh chang wtc netscape com monday june pm pdt additional details reassigned bug brian ostrom comment brian ostrom pdt issue bsdi bsd os platforms param h included ll check ifdef bsd equivalents see change something allow elimination dbsd bsd_os mk comment brian ostrom pdt n t problem anymore since s currently impossible build mozilla version bsd_os s hard tell runtime results comment rubydoo pst brian please verify bug thanks comment chris yeh pst applied old build system,1998-10-20 13:59:12 PDT
1407,Build Config,briano,autoconfig invoke linker correctly OpenBSD i openbsd i comes gcc uses customized gnu ld inherited netbsd certain openbsd architectures use binutils ld patch works i least s start kstailey cheeta cvs diff u configure in index configure in rcs file cvsroot mozilla configure in v retrieving revision diff u r configure in configure in configure in dll_suffix so fi i unknown openbsd dso_ldopts bshareable x assert pure text dso_cflags fpic dll_suffix so mkshlib ld dso_ldopts esac dnl checks typedefs structures compiler characteristics comment brian ostrom pst modified patch slightly hope ll work non x openbsd versions well let know broke checked revision comment paul macquiddy pst mark verified kstailey agrees w fix comment paul macquiddy pst n t hear complaining marking verified comment david krause pst setting correct os field,1998-11-20 12:00:41 PST
1421,Build Config,briano,autoconf generated configure n t get shared library rules right NetBSD configure in contain right shared library rules netbsd added tested netbsd i work netbsd platforms furthermore removed gcc come linker let handle shared lib creation line s wrong time gcc arbitrary linker backend may support h example netbsd changes rely nd patch applied comment brian ostrom pst compromised left existing stuff alone hard coded netbsd specific stuff needed think got right let know screwed checked revision comment paul macquiddy pst marking verified comment david krause pst setting os field,1998-11-20 12:00:53 PST
1542,Build Config,dougt,FEATURE Timebomb potentially better design rebuilt consolidate release team related settings user agent version number timebomb etc one script based solution least xp comment gagan pst holding prefs owner comment chris yeh pst need place tack build numbers would potentially yymmddhh comment chris mcafee pst leaf s mail build number part regular build release thing comment chris yeh pst since release engineering feature d like get implementation done soon debug kinks worked beginning january since qa going kicking need daily build number process place fullcirlce gagan tells take long course n t bug either give approximate eta done s mid january need know go lobby boss get priority raised thanks comment hubert shaw pst bug referred better design timebomb need ability tack build numbers timebomb working mac unix sarah mentioned someone put hack make it work could one clarify hack addressing n t sure it referring also details bug timebomb working browser crash ignore timebomb settings need timebomb criteria comment hubert shaw pst bug referred better design timebomb need ability tack build numbers timebomb working mac unix sarah mentioned someone put hack make it work could one clarify hack addressing n t sure it referring also details bug timebomb working browser crash ignore timebomb settings need timebomb criteria comment daniel leaf nunes pst currently hack mozilla xpfe xpviewer src nsviewerapp cpp nsbrowsermain cpp requires modification source files build time set time future app stops working dialogue given user unless sort console stderr print n t know worked believe set preferences file compilation n t know best way handled though preferrably app timebomb ought give kind gui dialogue startup depending warning time also window explaining timebomb expired timebomb date exceeded comment leger pst setting current open normal m comment paul macquiddy pst sure still relevant changing product browser comment paul macquiddy pst sure still relevant changing product browser comment hubert shaw pst ve debugged netlib version timebomb little bit assume people using ve worked around problem timebomb preferences set used libpref initialized viewer exe see fe_alert showing console msdos window win apprunner exe n t see fe_alert mapped nswebshell alert mnetsupport observer n t initialized point d appreciate help looking pref problem known fix pieces code use timebomb preferences still need debugging comment hubert shaw pst one m summary till mechanism timebombs one problems preference problem fixed awaiting permission checkin timebomb s appear work viewer exe apprunner exe functionality appears work alert s printed user ll continue debugging likely user alerted timebomb failure redirected resource url comment chris yeh pst hubie please change status bug fix soon checkin either leaf sarah broadwell check works comment rubydoo pst setting chris yeh qa contact chris team verifies fix please mark bug verified thanks comment hubert shaw pst well currently status assuming define timebomb_on compiling nsnetservice cpp win non netscape urls disabled yes warning message linux non netscape urls disabled warning message mac n t know difficulties complicating solutions problem disabling url depends pref initialized netlib static initializers get called main linux initialized prefs main portion n t work linux win static initializers get called library first used main work around removing net_checkfortimebomb s dependency prefs communicating timebomb info warning message timebomb expiration warning messages n t work apprunner fe_alert currently maps nsbrowserappcore alert decides output anything problem suggestion redirect url netlib used load many parts browser including chrome levels netlib gets control n t know loaded current notification mechanism designed asynchronous nature think main problem netlib asked function long term responsibility application could put calls main nsapprunner cpp check expiration via exported exported netlib function load expired url instead normal url initially wanted clarifications simple solution way enable alerts worth shoehorn work comment daniel leaf nunes pst m adding chofmann cc list must kind timebomb implemented m sure redesigning timebomb implemented way go hacking way go comment hubert shaw pst decided move m since m general release even checked something d disabling netlib non netscape domains would n t notifying user expiration comment chris yeh pst assigning leaf working touch base hshaw figure needs done turn test comment chris yeh pdt moving m comment chris yeh pdt moving m get m radar n t critical m comment chris yeh pdt reassigning rpotts based conversation melton idea rpotts going implement time bomb settings js file setting target milestone m comment matthew tuck codemachine pdt maybe m missing something instead manual hacking source ca n t timebomb date passed compile time define putting sort file would seem make easier user change binary releases least comment chris hofmann pdt m comment rpotts gone pdt hey m reassigning gagan think timebomb live webshell docloader level rather necko s really xpapps issue rick comment rpotts gone pdt bug marked duplicate bug comment pdt nice dodge rick comment pdt elevate beta issue comment chris hofmann pst guessing timebomb m move m comment pst move m comment pst travis handle m comment pst replaced beta feature summary comment pst re summarized comment phil peterson pst pdt comment doug turner dougt pst taking travis comment doug turner dougt pst unix windows turned need get mac working comment doug turner dougt pst documentation timebombs http lxr mozilla org seamonkey source xpfe components timebomb nsitimebomb idl mainly talks preferences need set put all js http lxr mozilla org seamonkey source modules libpref src init all js may change config js need talk seth sort details built windows tool called timebombgen exe generate absolute build_time dates use c option get current time t xxx get time specified xxx xxx format http lxr mozilla org seamonkey source nsprpub pr include prtime h questions let know currently building mac working unix windows dialog get sucks big time start also sould publish page user taken build expires xul page comment doug turner dougt pst mac checked implemented file new bugs timebomb occur comment chris yeh pst changing qa contact granrose cc ed perform testing verification feature comment leger pst granrose need verify comment jon granrose pst ve told merging xpt files one large file bug higher priority timebomb due startup performance improvement gives m working right comment leger pst sounds good ll put verify status summary give breathing room thanks comment jon granrose pst ca n t get timebombs work m assuming m something wrong setting relative timebombs however absolute timebombs win see message console saying expire expired browser hangs splash screen displayed remove timebomb prefs all js starts fine ve emailed dougt m going try today s win build see s difference comment kathleen brade pst time bomb date d like know help verify well negative testing comment jon granrose pst currently s set see default pref all ns js ve verified timebomb works absolute timebombs work n t able get warning work n t tested relative timebombs yet ll try tomorrow comment doug turner dougt pst netscape commercial product oct doubt confidential since human readable prefs file plus long way away comment jim roskind pst talked pdt would like date set date aug th accounts roughly quarterly release cycle plus extra month case something goes bad also sets folks encourage upgrade next beta something re distinction bomb date nag date anything else needs specified recollection even timebomb goes browser still used contact netscape com able upgrade also true thanks jim p s sorry n t hear discussion comment doug turner dougt pst lets open new bug reseting timebomb another date http bugzilla mozilla org show_bug cgi id speaking micheall bit found need nag date expire date hit dialog appear telling user running expired software taken predetrimed home page going make fixed since feature implemented comment leger pst marking verified new bug aug date written marked pdt,1998-11-23 15:54:57 PST
